Patch Panel;Porta;id;Origem;Porta_Origem;Destino;Porta Destino;Teste;Gigabit
PP-A1;1;PP-A11;;;;;;
PP-A1;2;PP-A12;;;;;;
PP-A1;3;PP-A13;;;;;;
PP-A1;4;PP-A14;;;;;;
PP-A1;5;PP-A15;AP-01;;AP-ADM;;;
PP-A1;6;PP-A16;SW-A;6;Sala3;4;;
PP-A1;7;PP-A17;SW-A;7;Ilha1;1;;
PP-A1;8;PP-A18;SW-A;8;Ilha1;2;;
PP-A1;9;PP-A19;SW-A;9;Ilha1;3;;
PP-A1;10;PP-A110;SW-A;10;Ilha1;4;;
PP-A1;11;PP-A111;SW-A;11;Ilha1;5;;
PP-A1;12;PP-A112;SW-A;12;Ilha1;6;;
PP-A1;13;PP-A113;SW-A;13;Ilha2;1;;
PP-A1;14;PP-A114;SW-A;14;Ilha2;2;;
PP-A1;15;PP-A115;SW-A;15;Ilha2;3;;
PP-A1;16;PP-A116;SW-A;16;Ilha2;4;;
PP-A1;17;PP-A117;SW-A;17;Ilha2;5;;
PP-A1;18;PP-A118;SW-A;18;Ilha2;6;;
PP-A1;19;PP-A119;SW-A;19;Sala4;4;;
PP-A1;20;PP-A120;SW-A;20;Sala4;5;;
PP-A1;21;PP-A121;SW-A;21;Sala4;6;;
PP-A1;22;PP-A122;SW-A;22;Sala5;1;;
PP-A1;23;PP-A123;SW-A;23;Sala5;2;;
PP-A1;24;PP-A124;SW-A;24;Sala5;3;;
PP-A2;1;PP-A21;SW-A;25;Sala5;4;;
PP-A2;2;PP-A22;SW-A;26;Sala5;5;;
PP-A2;3;PP-A23;SW-A;27;Sala5;6;;
PP-A2;4;PP-A24;SW-A;28;Prod6;1;;
PP-A2;5;PP-A25;SW-A;29;Sala6;1;;
PP-A2;6;PP-A26;SW-A;30;Sala6;2;;
PP-A2;7;PP-A27;SW-A;31;Sala6;3;;
PP-A2;8;PP-A28;SW-A;32;Sala6;4;;
PP-A2;9;PP-A29;SW-A;33;Sala7;1;;
PP-A2;10;PP-A210;SW-A;34;Sala7;2;;
PP-A2;11;PP-A211;SW-A;35;Sala7;3;;
PP-A2;12;PP-A212;SW-A;36;Sala7;4;;
PP-A2;13;PP-A213;SW-A;37;Sala8;1;;
PP-A2;14;PP-A214;;;;;;
PP-A2;15;PP-A215;SW-A;39;Sala8;2;;
PP-A2;16;PP-A216;SW-A;40;Sala8;3;;
PP-A2;17;PP-A217;SW-A;41;Sala8;4;;
PP-A2;18;PP-A218;SW-A;42;Sala10;1;;
PP-A2;19;PP-A219;SW-A;43;Ilha5;4;;
PP-A2;20;PP-A220;;;;;;
PP-A2;21;PP-A221;;;;;;
PP-A2;22;PP-A222;;;;;;
PP-A2;23;PP-A223;;;;;;
PP-A2;24;PP-A224;;;;;;
PP-B;1;PP-B1;SW-B;1;Prod1;1;;
PP-B;2;PP-B2;SW-B;2;Prod1;2;;
PP-B;3;PP-B3;SW-B;3;Prod1;3;;
PP-B;4;PP-B4;SW-B;4;Prod2;1;;
PP-B;5;PP-B5;SW-B;5;Prod2;2;;
PP-B;6;PP-B6;SW-B;6;Prod3;1;;
PP-B;7;PP-B7;SW-B;7;Prod3;2;;
PP-B;8;PP-B8;SW-B;8;Prod4;1;;
PP-B;9;PP-B9;SW-B;9;Prod4;2;;
PP-B;10;PP-B10;SW-B;10;Prod4;3;;
PP-B;11;PP-B11;SW-B;11;Prod4;4;;
