ID;Dispositivo Origem;Porta;Dispositivo Destino;Porta;Sala;Tomada;Setor
MikrotikLan5;SW-A;1;Mikrotik;Lan5;Uplink;Rack;Rack
ERP ServerEth1;SW-A;2;ERP Server;Eth1;Uplink;Uplink;Rack
ERP ServerEth2;SW-A;3;ERP Server;Eth2;Uplink;Rack;Rack
FileServerEth1;SW-A;4;FileServer;Eth1;Rack;Rack;Rack
;SW-A;5;;;;;
PP-A16;SW-A;6;PP-A1;6;Sala3;4;
PP-A17;SW-A;7;PP-A1;7;Ilha1;1;
PP-A18;SW-A;8;PP-A1;8;Ilha1;2;
PP-A19;SW-A;9;PP-A1;9;Ilha1;3;
PP-A110;SW-A;10;PP-A1;10;Ilha1;4;
PP-A111;SW-A;11;PP-A1;11;Ilha1;5;
PP-A112;SW-A;12;PP-A1;12;Ilha1;6;
PP-A113;SW-A;13;PP-A1;13;Ilha2;1;
PP-A114;SW-A;14;PP-A1;14;Ilha2;2;
PP-A115;SW-A;15;PP-A1;15;Ilha2;3;
PP-A116;SW-A;16;PP-A1;16;Ilha2;4;
PP-A117;SW-A;17;PP-A1;17;Ilha2;5;
PP-A118;SW-A;18;PP-A1;18;Ilha2;6;
PP-A119;SW-A;19;PP-A1;19;Sala4;4;
PP-A120;SW-A;20;PP-A1;20;Sala4;5;
PP-A121;SW-A;21;PP-A1;21;Sala4;6;
PP-A122;SW-A;22;PP-A1;22;Sala5;1;
PP-A123;SW-A;23;PP-A1;23;Sala5;2;
PP-A124;SW-A;24;PP-A1;24;Sala5;3;
PP-A21;SW-A;25;PP-A2;1;Sala5;4;
PP-A22;SW-A;26;PP-A2;2;Sala5;5;
PP-A23;SW-A;27;PP-A2;3;Sala5;6;
PP-A24;SW-A;28;PP-A2;4;Prod6;1;
PP-A25;SW-A;29;PP-A2;5;Sala6;1;
PP-A26;SW-A;30;PP-A2;6;Sala6;2;
PP-A27;SW-A;31;PP-A2;7;Sala6;3;
PP-A28;SW-A;32;PP-A2;8;Sala6;4;
PP-A29;SW-A;33;PP-A2;9;Sala7;1;
PP-A210;SW-A;34;PP-A2;10;Sala7;2;
PP-A211;SW-A;35;PP-A2;11;Sala7;3;
PP-A212;SW-A;36;PP-A2;12;Sala7;4;
PP-A213;SW-A;37;PP-A2;13;Sala8;1;
;SW-A;38;;;;;
PP-A215;SW-A;39;PP-A2;15;Sala8;2;
PP-A216;SW-A;40;PP-A2;16;Sala8;3;
PP-A217;SW-A;41;PP-A2;17;Sala8;4;
PP-A218;SW-A;42;PP-A2;18;Sala10;1;
PP-A219;SW-A;43;PP-A2;19;Ilha5;4;
Switch PoEUplink;SW-A;44;Switch PoE;Uplink;Rack;POE;PROD
ATA AdapterEth1;SW-A;45;ATA Adapter;Eth1;Rack;Uplink;Uplink
SW-B24;SW-A;46;SW-B;24;Rack;Uplink;Uplink
SW-C16;SW-A;47;SW-C;16;Rack;Uplink;Uplink
SW-D16;SW-A;48;SW-D;16;Rack;Uplink;Uplink
PP-B1;SW-B;1;PP-B;1;Prod1;1;
PP-B2;SW-B;2;PP-B;2;Prod1;2;
PP-B3;SW-B;3;PP-B;3;Prod1;3;
PP-B4;SW-B;4;PP-B;4;Prod2;1;
PP-B5;SW-B;5;PP-B;5;Prod2;2;
PP-B6;SW-B;6;PP-B;6;Prod3;1;
PP-B7;SW-B;7;PP-B;7;Prod3;2;
PP-B8;SW-B;8;PP-B;8;Prod4;1; 
PP-B9;SW-B;9;PP-B;9;Prod4;2;
PP-B10;SW-B;10;PP-B;10;Prod4;3;
