Equip. Origem;Porta Origem;Equip. Destino;Porta Destino;Função / Descrição;Setor;
GPON Vivo;Eth1;Mikrotik;1;Uplink;Rack;
GPON Algar;Eth1;Mikrotik;2;Uplink;Rack;
ERP Server;GB2;SW-A;2;Uplink;Rack;
ERP Server;GB1;SW-A;3;Uplink;Rack;
File Server;Eth1;SW-A;4;Uplink;Rack;
SW-B;24;SW-A;46;Uplink;Rack;
SW-C;16;SW-A;47;Uplink;Rack;
SW-D;16;SW-A;48;Uplink;Rack;
ATA Adapter;Eth1;SW-A;45;Uplink;Rack;
Mikrotik;5;SW-A;1;Uplink;Rack;
ATA Adapter;1;PP-A1;3;Telefone Sem fio;Ilha6 - 10;
ATA Adapter;2;PP-A1;4;Telefone Sem fio;Ilha5 - 6;
ATA Adapter;3;PP-A1;5;Telefone Sem fio;Prod2 - 2;
ATA Adapter;4;PP-A1;6;Telefone Sem fio;Prod3 - 2;
ATA Adapter;5;PP-A1;7;Telefone Sem fio;Prod4 - 4;
ATA Adapter;6;PP-A1;8;Telefone Sem fio;Ilha4 - 3;
ATA Adapter;7;PP-A1;9;Telefone Sem fio;Ilha4 - 6;
ATA Adapter;8;PP-A1;10;Telefone Sem fio;Sala5 - 6;
Switch PoE;5;SW-A;3;Uplink;Rack;
Switch PoE;1;PP-A1;5;AP1;ADM;
Switch PoE;2;PP-B;14;AP2;Produção;
Alarme;Uplink;PP-B1;22;Uplink Alarme;Arquivo;
DVR;Uplink;PP-B1;23;Uplink DVR;Arquivo;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;#REF!
;;;;;;#REF!
;;;;;;#REF!
;;;;;;#REF!
;;;;;;#REF!
;;;;;;#REF!
