Nome;Sobrenome;E-mail;Número;Ramal;Aparelho IP;Login Webex;
PCP;Ramal 07;censored;censored;207;ATA;censored;
Comercial 1;Ramal 08;censored;censored;208;ATA;censored;
Expedicao;Ramal 10;censored;censored;210;ATA;censored;
PCP 2;Ramal 11;censored;censored;211;ATA;censored;
Comercial 3;Ramal 12;censored;censored;212;ATA;censored;
Sala de Reuniao;Ramal 14;censored;censored;214;ATA;censored;
Separacao;Ramal 15;censored;censored;215;ATA;censored;
Vendas 2;Ramal 17;censored;censored;218;ATA;censored;
Recepcao;Ramal 01;censored;censored;200;Yealink;censored;
Financeiro 1;Ramal 02;censored;censored;202;Yealink;censored;
Rh;Ramal 03;censored;censored;203;Yealink;censored;
Financeiro 2;Ramal 04;censored;censored;204;Yealink;censored;
Diretoria;Ramal 05;censored;censored;205;Yealink;censored;
Financeiro 3;Ramal 06;censored;censored;206;Yealink;censored;
Comercial 2;Ramal 09;censored;censored;209;Yealink;censored;
Acabamento;Ramal 13;censored;censored;213;Yealink;censored;
Vendas 1;Ramal 16;censored;censored;216;Yealink;censored;
Compras;Ramal 18;censored;censored;220;Yealink;censored;
Vendas;Ramal 19;censored;censored;222;Yealink;censored;
Financeiro 4;Ramal 20;censored;censored;223;Yealink;censored;
